NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
5,8,7,5,2,7,0,0,3,0,8,0.538461538,0,0,7.25E-18,0.002392055,0,0.000372591,0.157743584,0.044984078,0.017063796,0.012809105,0.001065873,0.000269494,0.006276539,0
1,1,1,0,1,3,0,0,1,0,1,0,0,0,7.25E-18,0,0,0.000372591,0,0,0,1.11E-84,0,0,0.000227937,0
3,10,5,2,2,6,5,0,1,0,5,0.542406312,0.000982284,0.012088904,1.10E-11,0.000335959,0.000120134,0.001496045,0.193234378,0.002593825,0.012401177,1.35E-05,0.000270261,3.95E-05,0.001813815,0
1,4,3,1,1,4,11,0,1,0,3,0.656804734,0.000727113,0.0108529,2.46E-12,2.90E-05,0.000542763,0.001999607,0.249463406,0.000848849,0.012345316,6.70E-06,1.11E-06,1.69E-05,0.000819878,0
2,4,4,0,0,5,1,0,1,1,3,0.668639053,3.14E-06,0.003955012,4.60E-14,7.42E-06,0.000620179,0.00039866,0.250763324,0,0.013511591,1.12E-05,1.96E-07,7.98E-06,0.000252219,0
4,9,8,2,2,5,0,0,2,0,7,0.786982249,0,0,7.25E-18,1.13E-05,0,0.000372591,0.229843707,0,0,1.11E-84,0.000288298,0,0.000227937,0
1,5,4,0,0,5,1,0,1,1,3,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.247679797,0.001260715,0.013511591,1.12E-05,2.25E-07,7.98E-06,0.000252219,0
1,4,4,0,0,5,1,0,1,1,3,0.668639053,3.14E-06,0.003955012,4.60E-14,7.42E-06,0.000620179,0.00039866,0.194292451,0,0.013513335,1.12E-05,9.62E-05,7.98E-06,0.000252219,0
9,10,6,2,2,6,1,0,2,1,5,0.786982249,9.25E-06,0.003955012,4.60E-14,1.23E-05,0.000620179,0.00039866,0.247044953,4.13E-07,0.013511591,1.12E-05,1.36E-06,7.98E-06,0.000252219,0
1,2,2,1,1,1,0,0,1,1,2,0,0,0,7.25E-18,0,0,0.000372591,0,0,0.012657151,2.35E-07,0,1.07E-08,0.000244748,0
3,8,5,1,1,6,1,0,2,1,6,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.304090208,0.000850157,0.013515778,1.12E-05,7.77E-07,7.98E-06,0.000252219,0
3,8,5,1,1,7,1,0,2,1,6,0.623274162,9.89E-06,0.003955012,4.60E-14,2.12E-05,0.000620179,0.00039866,0.295625624,0.000738674,0.013515778,1.12E-05,6.02E-06,7.98E-06,0.000252219,0
3,7,5,1,1,5,1,0,1,1,5,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.27670123,4.13E-07,0.013513684,1.12E-05,7.10E-07,7.98E-06,0.000252219,0
2,4,4,2,2,1,0,0,1,1,4,0,0,0,7.25E-18,0,0,0.000372591,0,0,0.012653491,2.35E-07,0,1.48E-06,0.000247876,0
9,13,7,3,4,6,1,0,2,1,6,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.245352036,0.000850157,0.013511591,1.12E-05,0.000107772,7.98E-06,0.000252219,0
4,9,9,0,0,4,0,0,2,0,3,0,0,0,7.25E-18,0,0,0.000372591,0,0,0,1.11E-84,0,0,0.000227937,0
3,4,4,0,0,4,1,0,0,1,3,0.668639053,3.14E-06,0.003955012,4.60E-14,7.42E-06,0.000620179,0.00039866,0.221197739,0.000821254,0.013509499,1.12E-05,1.28E-07,7.98E-06,0.000252219,0
3,7,5,1,1,5,1,0,1,1,5,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.247679797,4.13E-07,0.013511591,1.12E-05,6.42E-07,7.98E-06,0.000252219,0
1,2,2,1,1,1,0,0,1,1,2,0,0,0,7.25E-18,0,0,0.000372591,0,0,0.012657151,2.35E-07,0,1.07E-08,0.000244748,0
3,8,5,1,1,6,1,0,2,1,6,0.775147929,2.64E-06,0.003955012,4.60E-14,0.002067367,0.000620179,0.00039866,0.304090208,0.000850157,0.013515778,1.12E-05,7.77E-07,7.98E-06,0.000252219,0
4,7,5,1,1,5,1,0,1,1,3,0.786982249,2.64E-06,0.003955012,4.60E-14,1.13E-05,0.000620179,0.00039866,0.247679797,4.13E-07,0.013511591,1.12E-05,6.42E-07,7.98E-06,0.000252219,0
10,10,6,2,2,7,1,0,3,1,5,0.786982249,9.25E-06,0.003955012,4.60E-14,1.23E-05,0.000620179,0.00039866,0.247044953,4.13E-07,0.013511591,1.12E-05,1.36E-06,7.98E-06,0.000252219,0
0,2,2,0,2,5,0,0,0,1,3,0.660749507,0,0,7.25E-18,7.03E-05,0,0.000372591,0.225037033,0.00034894,0.012697474,2.56E-07,0.000221318,2.06E-06,0.000291048,0
6,7,6,4,3,5,0,0,1,1,4,0.660749507,0,0,7.25E-18,7.03E-05,0,0.000372591,0.282928746,4.58E-06,0.0126781,2.38E-07,0.000190658,7.47E-07,0.000245747,0
1,2,2,1,0,4,6,0,0,0,2,0.662721893,0.00032206,0.006813126,1.23E-12,7.66E-05,0.000611476,0.001692627,0.214758608,0.000911059,0.012285052,1.80E-06,0.000190771,5.06E-05,0.000905574,0
2,3,3,2,0,2,1,0,1,2,4,0.790927022,1.98E-06,0.003955012,4.60E-14,5.57E-06,0.000620179,0.00039866,0.243024275,0.000170568,0.013554274,1.15E-05,5.37E-05,8.73E-06,0.000270029,0
1,2,2,1,0,3,0,0,1,1,3,0.660749507,0,0,7.25E-18,7.03E-05,0,0.000372591,0.281024215,8.67E-07,0.0126781,2.38E-07,0.000244218,7.47E-07,0.000245747,0
8,5,4,3,0,5,1,0,4,2,5,0.631163708,1.25E-05,0.003955012,4.60E-14,2.53E-05,0.000620179,0.00039866,0.238943136,0.001193626,0.013554274,1.15E-05,0.000444707,8.73E-06,0.000270029,0
9,5,4,3,0,6,1,0,5,2,5,0.520710059,1.89E-05,0.003955012,4.60E-14,0.000361222,0.000620179,0.00039866,0.165391941,0.0021935,0.013554274,1.15E-05,0.000325968,8.73E-06,0.000270029,0
