NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
21,11,10,1,5,7,0,0,3,0,17,0,0,0,1.28E-10,0,0,0.000528873,0.017187225,0.005195042,0.014981003,3.66E-05,1.45E-08,1.34E-06,0.001410024,1
7,29,28,4,10,8,0,0,3,0,49,0.02020202,0,0,1.28E-10,1.94E-20,0,0.000528873,0.002295291,0.002636081,0.014305425,0.041994539,1.14E-09,4.66E-06,0.006915095,1
10,53,32,2,7,28,0,0,5,0,132,0,0,0,1.28E-10,0,0,0.000528873,0.012398963,0.000883367,0.009071424,9.23E-06,3.69E-07,1.67E-06,0.003235106,0
2,3,2,0,2,1,1,0,1,1,1,0.01010101,0,0.001183432,1.92E-09,1.68E-20,1.91E-19,0.000753656,0.000944474,0.001315236,0.008456529,0.010582018,1.78E-12,9.58E-11,0.0009218,0
6,35,26,5,10,6,3,2,3,2,34,0,0,0.003550296,1.72E-08,0,1.24E-18,0.001843874,0.000658935,2.80E-06,0.007300918,0.043832285,6.06E-10,3.87E-10,0.003618357,0
1,9,9,0,2,3,0,0,1,0,20,0.01010101,0,0,1.28E-10,-1.12E-22,0,0.000528873,9.88E-05,1.26E-05,0.006123906,0.020380183,9.08E-11,1.85E-10,0.001413155,0
3,8,6,1,2,5,0,0,2,0,10,0.01010101,0,0,1.28E-10,1.68E-20,0,0.000528873,0.000812687,0.000330211,0.0080038,0.00039508,1.14E-12,2.22E-14,0.000600154,0
1,5,5,0,3,4,3,0,0,3,2,0.01010101,7.71E-05,0.021828547,2.52E-05,-1.33E-21,7.69E-06,0.007086386,4.39E-05,0.000591716,0.012298687,5.21E-06,0,2.10E-10,0.002339528,0
2,4,1,0,2,2,0,0,1,0,3,0,0,0,1.28E-10,0,0,0.000528873,0.000175716,0,0.009711345,3.22E-06,4.53E-12,2.66E-10,0.000675562,0
3,13,6,0,1,9,0,0,2,0,14,0.050505051,0,0,1.28E-10,2.26E-05,0,0.000528873,0.000944474,0.003529964,0.015414667,1.56E-05,4.51E-09,6.14E-07,0.001567263,0
0,2,2,0,1,2,4,0,0,13,1,0.03030303,1.68E-05,0.005798817,1.10E-05,1.04E-07,1.64E-05,0.001685369,0.000252592,0.001027791,0.013480697,3.23E-05,3.69E-12,1.77E-06,0.001575489,0
0,2,2,0,1,2,5,0,0,5,1,0.03030303,0.000129,0.02680585,1.34E-05,1.04E-07,0.001643167,0.005860179,0.000197681,0.000730531,0.014621006,2.65E-06,6.17E-13,1.84E-08,0.001108821,0
1,4,4,1,2,3,0,0,0,0,3,0.01010101,0,0,1.28E-10,4.49E-21,0,0.000528873,4.39E-05,0,0,5.29E-92,2.46E-12,0,0.000391136,0
0,6,6,1,2,4,1,0,0,0,4,0.01010101,0,0.001183432,1.92E-09,3.85E-20,1.69E-18,0.000753656,0.000208663,0,0.000169062,1.64E-89,4.31E-12,1.95E-18,0.000602723,0
2,14,11,1,5,9,4,0,1,0,14,0.02020202,5.61E-06,0.004733728,7.31E-09,6.54E-21,1.35E-18,0.001428005,0.017132314,7.43E-05,9.66E-05,4.57E-88,4.02E-09,2.58E-08,0.001073898,0
0,1,1,0,0,2,0,0,0,0,1,0,0,0,1.28E-10,0,0,0.000528873,0,0,0.004604818,1.22E-06,0,1.47E-10,0.000416102,0
