NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
5,11,11,4,5,3,0,0,1,2,6,0,0,0,2.29E-53,0,0,0.000396304,0,0,5.03E-05,2.71E-60,0,5.83E-214,0.000467464,0
7,8,8,0,7,2,0,1,1,1,1,0,0,0,2.29E-53,0,0,0.000396304,0,0,2.02E-05,2.86E-60,0,6.16E-214,0.000449579,0
5,7,5,3,0,10,1,1,3,0,9,0.00422833,2.53E-06,0.000917431,1.65E-51,1.99E-21,-3.36E-20,0.000733247,0.001144455,4.21E-06,2.41E-05,3.78E-63,2.62E-215,1.23E-215,0.00048611,0
10,24,23,8,8,6,1,0,2,1,8,0.000704722,2.53E-06,0.001376147,1.37E-48,5.15E-21,-4.19E-19,0.001263391,0.000253811,5.05E-06,0.000129014,3.70E-59,8.37E-268,8.58E-215,0.000584173,0
10,7,7,1,0,4,1,0,0,1,2,0.002114165,3.37E-06,0.001223242,5.86E-50,-1.17E-20,7.11E-20,0.001019755,0.000336876,0,4.37E-05,9.15E-61,1.51E-217,1.97E-214,0.000332507,0
0,6,6,0,4,1,0,0,0,0,2,0,0,0,2.29E-53,0,0,0.000396304,0,0,5.65E-05,8.67E-57,0,5.73E-266,0.000720093,0
4,5,5,3,0,6,0,0,3,0,4,0,0,0,2.29E-53,0,0,0.000396304,0,0,0,4.52E-66,0,0,0.000277554,0
10,10,8,5,0,9,0,0,4,0,8,0.007047216,0,0,2.29E-53,-9.39E-22,0,0.000396304,0.001905887,0,0,4.52E-66,9.93E-217,0,0.000277554,0
3,6,4,0,0,7,0,0,1,0,10,0,0,0,2.29E-53,0,0,0.000396304,0,0,0,4.52E-66,0,0,0.000277554,0
44,30,2,8,1,3,0,0,2,0,2,0.001409443,0,0,2.29E-53,-2.97E-20,0,0.000396304,0.000267655,3.20E-05,0.000404881,5.39E-31,9.07E-252,6.45E-159,0.000368295,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-53,0,0,0.000396304,0,0,6.12E-05,1.50E-63,0,7.82E-251,0.00034563,0
41,34,6,0,0,5,0,0,2,0,3,0.001409443,0,0,2.29E-53,-2.97E-20,0,0.000396304,0.000239966,0,0,4.52E-66,5.81E-252,0,0.000277554,0
1,2,1,0,0,3,0,0,1,0,2,0.000704722,0,0,2.29E-53,2.05E-20,0,0.000396304,0.006585232,4.47E-05,0.000664984,1.25E-30,5.13E-161,4.30E-161,0.001086974,0
0,5,5,1,0,2,0,0,0,0,2,0.000704722,0,0,2.29E-53,-1.85E-21,0,0.000396304,2.77E-05,1.68E-06,0.000544725,6.20E-31,5.70E-161,6.30E-161,0.000557485,0
2,4,0,0,1,0,2,2,0,0,0,0,0,0.001834862,3.28E-51,0,-5.31E-19,0.000733247,0,0,0.000214181,6.97E-31,0,5.85E-250,0.000698967,0
