NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
16,41,14,6,3,18,3,0,8,0,41,0.126315789,0.000203869,0.007366483,9.28E-10,0.003282935,5.71E-06,0.004012464,0.174629683,0.00104653,0.000166161,3.71E-182,0.012986952,0.00227921,0.001027248,0
20,90,32,12,13,27,11,3,11,11,85,0.168421053,0.003953368,0.088665467,0.21160959,0.003365347,0.000542503,0.026259385,0.216671507,0.032012199,0.011713103,1.05E-09,0.031645021,0.014292196,0.004573419,1
2,3,3,0,2,4,0,0,2,0,4,0,0,0,4.40E-13,0,0,0.000813884,0.033691548,1.70E-05,0.003177323,4.52E-11,0.001016182,0.00014051,0.000473677,0
2,4,4,0,3,6,0,0,2,0,5,0,0,0,4.40E-13,0,0,0.000813884,0,0,0,3.72E-189,0,0,0.000434363,0
8,22,4,5,6,10,1,1,6,2,20,0,0,0.005099873,7.73E-09,0,6.23E-06,0.001167358,0.059976764,0.001810191,0.003909399,4.72E-10,0.000292896,0.003125141,0.00060496,0
3,18,8,3,2,8,0,0,2,0,17,0.031578947,0,0,4.40E-13,1.31E-05,0,0.000813884,0.052497822,8.49E-05,0.00626151,7.57E-11,0.02274872,0.000669862,0.000505731,0
1,4,4,0,0,2,0,0,0,0,1,0.031578947,0,0,4.40E-13,0.000308276,0,0.000813884,0.056709265,1.36E-05,0.002926807,5.09E-11,0.013686236,0.000105102,0.000485737,0
3,11,6,1,1,10,0,0,3,0,13,0.031578947,0,0,4.40E-13,0.000308276,0,0.000813884,0.062300319,0.000545351,0.003315566,1.55E-10,0.002412113,1.28E-05,0.000644718,0
1,4,4,0,0,2,0,0,0,0,1,0.031578947,0,0,4.40E-13,0.000308276,0,0.000813884,0.05699971,3.06E-05,0.002934138,5.09E-11,0.012709571,0.000211047,0.000471445,0
5,13,6,1,1,9,0,0,3,0,15,0.031578947,0,0,4.40E-13,0.000308276,0,0.000813884,0.069053151,0.000555544,0.003325157,1.55E-10,0.004843586,1.28E-05,0.000644718,0
1,3,3,0,0,5,3,0,0,0,2,0.031578947,2.72E-05,0.007857581,7.76E-09,0.019243782,0.016168032,0.001812628,0.004284055,0.000288815,0.003862325,5.31E-170,1.92E-05,4.12E-06,0.000864843,0
0,4,4,0,1,8,1,0,0,0,6,0.084210526,1.70E-05,0.001841621,1.67E-11,0.01971763,-1.82E-19,0.001505441,0.005227999,0.000285417,0.002844963,2.78E-174,1.12E-05,1.37E-08,0.000560182,0
1,7,7,1,2,9,1,0,1,0,9,0.084210526,1.70E-05,0.001841621,1.67E-11,0.01971763,-1.76E-20,0.001505441,0.005227999,2.72E-05,0.002535757,4.64E-174,1.12E-05,6.88E-10,0.000762559,0
3,17,16,2,7,8,1,2,1,0,23,0.031578947,3.40E-06,0.001841621,1.67E-11,0.019480671,0.007402047,0.000900329,0.005881499,0.000258235,0.001931578,1.47E-175,8.87E-05,0.001296092,0.000471052,0
0,3,3,0,1,4,0,0,0,0,3,0.315789474,0,0,4.40E-13,1.59E-07,0,0.000813884,0.187118792,0,0,3.72E-189,9.99E-06,0,0.000434363,0
4,4,3,1,1,4,0,0,3,0,4,0,0,0,4.40E-13,0,0,0.000813884,0.005663665,0.002065877,0.003148032,2.60E-176,6.08E-05,0.000228722,0.000440837,0
0,3,3,0,1,4,0,0,0,0,3,0.221052632,0,0,4.40E-13,1.59E-07,0,0.000813884,0.12467325,0,0,3.72E-189,1.26E-05,0,0.000434363,0
4,11,9,2,2,4,1,1,2,1,3,0.031578947,6.80E-06,0.001841621,0.060459205,5.48E-05,5.20E-19,0.001983212,0.002686611,0.000536856,0.002744836,5.34E-47,8.84E-06,2.65E-06,0.001151778,0
3,5,4,1,1,2,1,1,1,0,1,0.052631579,0,0.001841621,0.060459205,2.26E-20,1.50E-05,0.001375554,0.005082777,0,0.002075661,6.97E-47,4.05E-08,7.28E-07,0.000781073,0
0,4,4,0,1,8,3,0,0,0,6,0.052631579,3.40E-05,0.006577217,6.35E-10,0.01971763,0.016168032,0.001897358,0.004574499,4.08E-05,0.003018785,1.06E-171,1.12E-05,4.87E-07,0.000939147,0
0,3,3,0,2,6,0,0,0,0,6,0.147368421,0,0,4.40E-13,-7.63E-22,0,0.000813884,0.015030497,0.000387352,0.003375817,1.30E-176,9.48E-09,0.000114361,0.0004376,0
1,3,3,0,2,5,0,0,0,0,4,0.147368421,0,0,4.40E-13,-7.90E-21,0,0.000813884,0.008931165,0.000516469,0.002949044,3.90E-176,9.42E-07,0.000343083,0.000444075,0
0,9,9,1,1,8,0,0,0,0,13,0.031578947,0,0,4.40E-13,0.019477824,0,0.000813884,0.03710427,0,0,3.72E-189,2.48E-05,0,0.000434363,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.40E-13,0,0,0.000813884,0,0,0.003220466,2.17E-176,0,0.000190602,0.000439758,0
