NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
0,2,2,0,1,3,7,0,0,0,2,0.253968254,0,0,3.29E-14,0.00016562,0,0.001948743,0.345566828,0,0,1.78E-32,7.10E-05,0,0.001066277,0
3,7,7,3,3,2,10,0,1,21,2,0,0,0.081403728,0.528385266,0,0.002617245,0.033157254,0,0,0.021269989,0.000339153,0,0.000159108,0.028069441,0
0,2,2,0,1,3,10,0,0,0,2,0.253968254,0.000448954,0.012355212,2.69E-11,0.00016562,2.37E-18,0.007119671,0.338244376,0.003299811,0.003886781,3.46E-05,7.10E-05,9.18E-06,0.001342462,0
4,9,7,0,1,7,0,0,2,0,6,0.341269841,0,0,3.29E-14,2.99E-19,0,0.001948743,0.361887958,0,0,1.78E-32,0.000367851,0,0.001066277,0
0,5,4,0,1,3,3,0,0,0,3,0.341269841,0,0,3.29E-14,2.99E-19,0,0.001948743,0.373886193,0,0,1.78E-32,0.000330711,0,0.001066277,0
5,11,7,2,1,8,1,1,3,0,7,0.341269841,1.50E-05,0.003861004,1.28E-12,2.99E-19,0.000338673,0.0021854,0.36576974,0.001436653,0.004032147,0.000630273,0.000472829,0.000825869,0.001161099,0
4,10,7,0,2,10,0,0,3,0,8,0.277777778,0,0,3.29E-14,0.000170468,0,0.001948743,0.382355536,0.018984516,0.008054853,0.019867583,0.001202637,9.00E-06,0.001271724,1
0,8,7,0,2,5,0,0,0,0,6,0.253968254,0,0,3.29E-14,0.00016562,0,0.001948743,0.372562858,0.002156226,0.00665407,0.039735165,0.000548374,1.80E-05,0.001477171,0
0,2,2,0,0,3,0,0,0,0,1,0.007936508,0,0,3.29E-14,0.001217338,0,0.001948743,0.536391707,0,0,1.78E-32,0.000556666,0,0.001066277,0
7,26,7,3,5,13,9,0,3,0,13,0.26984127,0.000374128,0.015535944,0.013545781,0.016577457,0.00080548,0.003599163,0.037582708,0.001017629,0.006411163,6.18E-05,0.000553658,0.000740662,0.003425503,0
0,2,2,0,0,3,0,0,0,0,1,0.007936508,0,0,3.29E-14,0.001217338,0,0.001948743,0.490339656,0,0,1.78E-32,7.66E-05,0,0.001066277,0
