NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
0,2,2,0,0,4,1,1,0,0,3,0.034188034,9.09E-06,0.00173913,9.09E-14,7.72E-05,1.48E-19,0.001640663,0.001929674,0,5.61E-05,4.34E-71,3.57E-05,1.32E-06,0.001125738,0
1,1,1,0,0,4,1,1,1,0,2,0.034188034,9.09E-06,0.00173913,9.09E-14,7.72E-05,-3.25E-20,0.001640663,0.001768868,0.000696864,0.010180104,0.001022247,7.44E-05,0.000115628,0.00095503,0
3,4,4,1,0,3,0,0,3,0,0,0.068376068,0,0,6.10E-16,3.83E-21,0,0.000886806,0.003108919,0,0,2.41E-74,1.61E-05,0,0.000691652,0
3,6,6,1,0,3,0,0,3,0,0,0.068376068,0,0,6.10E-16,-8.46E-22,0,0.000886806,0.147030446,0,0,2.41E-74,0.00099632,0,0.000691652,0
3,2,2,0,0,2,0,0,1,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.000804031,0.000469626,0.009009631,0.001022247,3.07E-06,0.0002652,0.00136922,0
2,6,6,0,1,3,0,0,2,0,5,0,0,0,6.10E-16,0,0,0.000886806,0.000160806,2.12E-05,0.007792567,0.000406304,3.90E-06,0.000454913,0.003122537,0
1,3,3,1,0,2,0,0,1,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.014686964,0,0,2.41E-74,0.001506479,0,0.000691652,0
1,3,3,1,0,2,0,0,1,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.017420669,0,0,2.41E-74,0.001402861,0,0.000691652,0
0,1,1,0,0,2,0,0,0,0,1,0.008547009,0,0,6.10E-16,3.40E-21,0,0.000886806,0.001929674,1.82E-05,0.000144928,1.12E-68,8.10E-06,1.70E-08,0.000787102,0
2,6,3,0,2,5,0,0,2,0,10,0,0,0,6.10E-16,0,0,0.000886806,0.002840909,0.000478715,0.006876495,0.007155729,4.98E-05,3.59E-06,0.000859433,0
0,5,5,0,1,2,0,0,0,0,5,0,0,0,6.10E-16,0,0,0.000886806,0.004073756,0,0.006030977,0.00284413,8.29E-05,7.89E-07,0.000842844,0
9,10,2,0,3,15,0,0,9,0,11,0.256410256,0,0,6.10E-16,0.000603158,0,0.000886806,0.069253859,0.004226632,0.007915853,0.01801282,0.000219698,0.000300587,0.000821505,0
4,10,10,1,0,5,0,0,3,0,1,0.111111111,0,0,6.10E-16,0.000492966,0,0.000886806,0.149174528,0,0,2.41E-74,0.003775299,0,0.000691652,0
3,7,4,1,1,7,0,0,3,0,3,0,0,0,6.10E-16,0,0,0.000886806,0.004341767,0,0,2.41E-74,1.03E-05,0,0.000691652,0
4,8,8,0,4,5,9,1,3,13,8,0.008547009,2.93E-05,0.017786561,6.71E-11,0.000209687,0.00292608,0.004381114,0,0,0.009872987,0.056337051,0,0.002733496,0.004046174,0
4,10,7,2,4,3,2,0,2,4,10,0,0,0.003478261,1.81E-13,0,0.000191929,0.001389378,0.005574614,4.39E-05,0.009969831,0.024398837,0.001933016,0.000495435,0.001204975,0
1,8,4,0,5,8,0,0,1,0,9,0.034188034,0,0,6.10E-16,8.10E-05,0,0.000886806,0.020690395,0,0,2.41E-74,3.11E-05,0,0.000691652,0
0,7,6,0,0,1,0,0,0,0,1,0.025641026,0,0,6.10E-16,7.61E-05,0,0.000886806,0.006485849,0,0,2.41E-74,0.000371946,0,0.000691652,0
1,6,6,1,0,1,0,0,1,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.011578045,0,0,2.41E-74,0.004259192,0,0.000691652,0
1,2,2,1,0,1,0,0,1,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.001876072,0,0,2.41E-74,6.54E-05,0,0.000691652,0
4,5,2,0,1,6,2,1,3,0,5,0.025641026,1.21E-05,0.003913043,6.82E-12,0.000127205,3.54E-19,0.002337957,0.002144082,4.54E-05,0.000330239,4.00E-64,2.65E-05,3.96E-05,0.001932349,0
2,3,2,0,0,5,1,1,2,0,3,0.05982906,1.21E-05,0.00173913,9.09E-14,9.93E-21,-2.67E-19,0.001640663,0.007450686,6.97E-05,0.000314551,2.17E-66,2.32E-06,9.74E-05,0.000791192,0
2,7,3,0,0,6,1,1,2,0,9,0.025641026,6.06E-06,0.00173913,9.09E-14,0.000127205,-8.46E-20,0.001640663,0.001608062,2.42E-05,0.000709039,1.17E-61,9.91E-05,0.000117978,0.004197968,0
3,4,3,0,1,6,2,2,3,0,4,0.025641026,1.21E-05,0.003913043,6.82E-12,0.000127205,2.86E-20,0.002337957,0.002144082,4.54E-05,0.000556077,6.48E-64,2.65E-05,7.36E-05,0.002074461,0
2,5,5,1,0,2,0,0,2,0,0,0.051282051,0,0,6.10E-16,9.19E-21,0,0.000886806,0.016509434,0,0,2.41E-74,7.75E-05,0,0.000691652,0
3,10,10,1,0,3,0,0,3,0,0,0.102564103,0,0,6.10E-16,-6.93E-21,0,0.000886806,0.008629931,0,0,2.41E-74,0.000176989,0,0.000691652,0
2,6,6,1,0,2,0,0,2,0,0,0.051282051,0,0,6.10E-16,-2.20E-21,0,0.000886806,0.015812607,0,0,2.41E-74,8.64E-05,0,0.000691652,0
2,7,7,1,0,3,0,0,2,0,0,0.051282051,0,0,6.10E-16,7.43E-22,0,0.000886806,0.019618353,0,0,2.41E-74,9.36E-05,0,0.000691652,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10E-16,0,0,0.000886806,0,0,0,2.41E-74,0,0,0.000691652,0
22,44,42,17,18,8,15,3,4,27,15,0.008547009,1.00E-04,0.032653673,5.09E-08,-2.92E-21,0.004894217,0.017019712,0.000160806,0.000787759,0.023745752,0.256272632,0,0.011055804,0.025569176,0
