ant_main_DMs+UNMs+WNMs,
Betweenness-W,0.095189013
HITS.hub-W,0.095189013
Eigenvector-W,0.091583333
HITS.authority-W,0.091583333
PageRank-W,0.091583333
Barycenter-W,0.090744569
Closeness-W,0.089414288
HITS.hub,0.078141795
Closeness,0.074070369
Eigenvector,0.074070369
HITS.authority,0.074070369
PageRank,0.074070369
Betweenness,0.064497129
IC_Par,0.060479648
Barycenter,0.056324604
NumOps,0.051064993
NumPubOps,0.047335444
Dep_In,0.042434736
EC_Par,0.040176433
EC_Attr,0.039306861
Dep_Out,0.033917673
Getters,0.031152893
NumAttr,0.030230355
IC_Attr,0.02517105
Setters,0.020138969
,
,
argouml_DMs+UNMs+WNMs,
HITS.hub-W,0.104660895
Betweenness-W,0.103516075
Eigenvector-W,0.102803361
HITS.authority-W,0.102803361
PageRank-W,0.102803361
Closeness-W,0.101685937
Barycenter-W,0.101226436
HITS.hub,0.087189068
PageRank,0.082517003
HITS.authority,0.08251211
Eigenvector,0.079605632
Closeness,0.076957585
Betweenness,0.073811839
Barycenter,0.067754645
IC_Par,0.056206195
NumPubOps,0.05104469
NumOps,0.050680908
Dep_In,0.045491966
EC_Par,0.043248852
NumAttr,0.035408252
EC_Attr,0.034700813
Getters,0.034135572
Dep_Out,0.031247498
IC_Attr,0.030617034
Setters,0.018881909
,
,
gwtportlets_DMs+UNMs+WNMs,
Eigenvector-W,0.172360434
PageRank-W,0.172360434
HITS.authority-W,0.164240609
Closeness-W,0.162513857
HITS.hub-W,0.154470579
Barycenter-W,0.148752373
PageRank,0.131663733
Betweenness-W,0.125964797
Eigenvector,0.12528653
HITS.hub,0.122186129
HITS.authority,0.117237619
Closeness,0.102546408
Barycenter,0.087487997
Betweenness,0.079537301
IC_Par,0.057647585
NumOps,0.052721979
Dep_In,0.049677698
EC_Par,0.049059098
NumPubOps,0.047625749
EC_Attr,0.037212273
Getters,0.034337936
Dep_Out,0.02852777
NumAttr,0.027880926
IC_Attr,0.023111222
Setters,0.014737424
,
,
javaclient_DMs+UNMs+WNMs,
PageRank-W,0.267283721
Eigenvector-W,0.256905396
HITS.authority-W,0.256833737
HITS.hub-W,0.254097004
Closeness-W,0.243432785
Barycenter-W,0.240203482
HITS.hub,0.212751726
PageRank,0.20888192
Eigenvector,0.199913527
HITS.authority,0.193981585
Betweenness-W,0.186681087
Closeness,0.1776592
Barycenter,0.165311287
Betweenness,0.162429408
Dep_In,0.073817587
EC_Par,0.063892291
NumPubOps,0.055801683
NumOps,0.054974048
IC_Par,0.046381104
NumAttr,0.042347257
Getters,0.042263486
EC_Attr,0.030790679
IC_Attr,0.02597137
Dep_Out,0.024416359
Setters,0.023397416
,
,
jedit_DMs+UNMs+WNMs,
PageRank-W,0.208983316
Eigenvector-W,0.202161041
HITS.authority-W,0.201316566
HITS.hub-W,0.19600889
Closeness-W,0.192507373
Barycenter-W,0.186868305
PageRank,0.164312634
HITS.hub,0.161769875
Eigenvector,0.158417189
HITS.authority,0.151525066
Betweenness-W,0.149518482
Closeness,0.141555302
Barycenter,0.131483376
Betweenness,0.126899284
Dep_In,0.058917373
EC_Par,0.050997191
NumPubOps,0.048525183
NumOps,0.048195129
Getters,0.037934936
IC_Par,0.037912739
NumAttr,0.033256484
EC_Attr,0.025300243
Setters,0.025042087
Dep_Out,0.023109788
IC_Attr,0.022978366
,
,
jgap_DMs+UNMs+WNMs,
PageRank-W,0.207157732
HITS.hub-W,0.203794436
Eigenvector-W,0.201124826
HITS.authority-W,0.199738659
Barycenter-W,0.195109605
Closeness-W,0.190712983
HITS.hub,0.167535797
PageRank,0.158493195
Eigenvector,0.153242946
Betweenness-W,0.15069602
HITS.authority,0.148088016
Closeness,0.136544521
Barycenter,0.131658485
Betweenness,0.124726279
Dep_In,0.05405668
NumOps,0.049855458
EC_Par,0.047852777
NumPubOps,0.047402679
Getters,0.039617575
IC_Par,0.036474834
NumAttr,0.033945149
Setters,0.027788502
EC_Attr,0.025815182
Dep_Out,0.024177569
IC_Attr,0.02293175
,
,
jhotdraw_DMs+UNMs+WNMs,
PageRank-W,0.198390953
HITS.hub-W,0.195159234
Eigenvector-W,0.191788262
HITS.authority-W,0.190968308
Barycenter-W,0.187094059
Closeness-W,0.183025697
PageRank,0.156118842
HITS.hub,0.155057701
Eigenvector,0.150776106
Betweenness-W,0.147468572
HITS.authority,0.145672327
Closeness,0.132739675
Betweenness,0.115154559
Barycenter,0.1136797
Dep_In,0.051381218
EC_Par,0.047892377
NumOps,0.046513961
NumPubOps,0.046244253
Getters,0.039968876
IC_Par,0.038219096
NumAttr,0.031802221
EC_Attr,0.027740205
Setters,0.02749306
Dep_Out,0.025105613
IC_Attr,0.021473928
,
,
jmeter_core_DMs+UNMs+WNMs,
PageRank-W,0.205907731
HITS.hub-W,0.201718138
Eigenvector-W,0.199242297
HITS.authority-W,0.198616569
Barycenter-W,0.192567347
Closeness-W,0.191116556
PageRank,0.162146401
Eigenvector,0.157119868
HITS.hub,0.1568319
Betweenness-W,0.155832823
HITS.authority,0.152312551
Closeness,0.139979672
Betweenness,0.116658247
Barycenter,0.114484411
Dep_In,0.052534258
EC_Par,0.047760377
NumPubOps,0.046664923
NumOps,0.045852281
Getters,0.037982423
IC_Par,0.03745402
NumAttr,0.032330475
EC_Attr,0.028667175
Setters,0.028236226
Dep_Out,0.025583974
IC_Attr,0.02249421
,
,
JPMC_DMs+UNMs+WNMs,
PageRank-W,0.223493344
Eigenvector-W,0.217044339
HITS.hub-W,0.216209106
HITS.authority-W,0.215443438
Closeness-W,0.207522292
Barycenter-W,0.206744806
PageRank,0.174671381
HITS.hub,0.172819478
Eigenvector,0.167695336
Betweenness-W,0.16441945
HITS.authority,0.163942689
Closeness,0.14798425
Betweenness,0.125456727
Barycenter,0.123671541
Dep_In,0.052704727
NumPubOps,0.045208843
NumOps,0.044313688
EC_Par,0.044278057
IC_Par,0.035533142
Getters,0.034851259
NumAttr,0.033337799
EC_Attr,0.028986894
Setters,0.025545315
Dep_Out,0.025013545
IC_Attr,0.024203435
,
,
log4j_DMs+UNMs+WNMs,
PageRank-W,0.195202493
Eigenvector-W,0.190000725
HITS.hub-W,0.188406026
HITS.authority-W,0.187419062
Closeness-W,0.181434336
Barycenter-W,0.180719606
PageRank,0.151375861
HITS.hub,0.149373392
Eigenvector,0.145226934
Betweenness-W,0.144634351
HITS.authority,0.142767692
Closeness,0.128516111
Betweenness,0.108591385
Barycenter,0.10688509
Dep_In,0.046831547
EC_Par,0.040863134
NumPubOps,0.040212434
NumOps,0.039897209
Getters,0.031522391
IC_Par,0.03150769
NumAttr,0.02799487
EC_Attr,0.027053548
Setters,0.024561946
Dep_Out,0.02203781
IC_Attr,0.020363307
,
,
Mars_DMs+UNMs+WNMs,
PageRank-W,0.191365108
Eigenvector-W,0.186600596
HITS.authority-W,0.184152178
HITS.hub-W,0.183029777
Closeness-W,0.178863856
Barycenter-W,0.175410547
HITS.hub,0.149951055
PageRank,0.14930537
Betweenness-W,0.144200781
HITS.authority,0.142543455
Eigenvector,0.14183254
Closeness,0.127734002
Betweenness,0.111254407
Barycenter,0.106083878
Dep_In,0.04534539
EC_Par,0.041290213
NumPubOps,0.036543654
NumOps,0.035368707
Getters,0.029516269
IC_Par,0.028336935
EC_Attr,0.027896802
NumAttr,0.023153416
Setters,0.022817953
Dep_Out,0.019627372
IC_Attr,0.01772834
,
,
Maze_DMs+UNMs+WNMs,
PageRank-W,0.207072792
Eigenvector-W,0.202356034
HITS.authority-W,0.198640839
HITS.hub-W,0.19557818
Closeness-W,0.193532156
Barycenter-W,0.187667525
HITS.hub,0.162859957
PageRank,0.162194451
Eigenvector,0.154331871
Betweenness-W,0.154317973
HITS.authority,0.149790443
Closeness,0.134300843
Barycenter,0.116631574
Betweenness,0.116140957
Dep_In,0.04549724
EC_Par,0.041456923
NumPubOps,0.03604496
NumOps,0.035502982
EC_Attr,0.030402314
Getters,0.03028068
IC_Par,0.027634227
NumAttr,0.024368261
Setters,0.02250068
Dep_Out,0.019148748
IC_Attr,0.017510635
,
,
